"State","representativesNumber","Pop"
"California","53","39613500"
"Texas","36","29730300"
"New York","27","19300000"
"Florida","27","21944600"
"Pennsylvania","18","12804100"
"Illinois","18","12569300"
"Ohio","16","11714600"
"Michigan","14","9992430"
"Georgia","14","10830000"
"North Carolina","13","10701000"
"New Jersey","12","8874520"
"Virginia","11","8603980"
"Washington","10","7796940"
"Tennessee","9","6944260"
"Massachusetts","9","6912240"
"Indiana","9","6805660"
"Arizona","9","7520100"
"Wisconsin","8","5852490"
"Missouri","8","6169040"
"Minnesota","8","5706400"
"Maryland","8","6065440"
"South Carolina","7","5277830"
"Colorado","7","5893630"
"Alabama","7","4934190"
"Louisiana","6","4627000"
"Kentucky","6","4480710"
"Oregon","5","4289440"
"Oklahoma","5","3990440"
"Connecticut","5","3552820"
"Utah","4","3310770"
"Nevada","4","3185790"
"Mississippi","4","2966410"
"Kansas","4","2917220"
"Iowa","4","3167970"
"Arkansas","4","3033950"
"West Virginia","3","1767860"
"New Mexico","3","2105000"
"Nebraska","3","1952000"
"Rhode Island","2","1061510"
"New Hampshire","2","1372200"
"Maine","2","1354520"
"Idaho","2","1860120"
"Hawaii","2","1406430"
"Wyoming","1","581075"
"Vermont","1","623251"
"South Dakota","1","896581"
"North Dakota","1","770026"
"Montana","1","1085000"
"Delaware","1","990334"
"Alaska","1","724357"
